title,link,company,salary,location
Sales Development Representative (SMB - MM- ENT),https://www.ycombinator.com/companies/deel/jobs/lACZX0I-sales-development-representative-smb-mm-ent,Deel,Any (new grads ok),US / CA / Remote (US; CA)
"Account Executive, MidMarket",https://www.ycombinator.com/companies/deel/jobs/sfNJy4e-account-executive-midmarket,Deel,3+ years,US / CA / Remote (US; CA)
Engineering Manager,https://www.ycombinator.com/companies/equipmentshare/jobs/vb0tMaS-engineering-manager,Equipmentshare,$120K - $170K,US / Remote (US)
Mid-level Software Engineer,https://www.ycombinator.com/companies/equipmentshare/jobs/nRmVwyu-mid-level-software-engineer,Equipmentshare,$90K - $125K,Remote (US)
Product Designer,https://www.ycombinator.com/companies/equipmentshare/jobs/UA18qDS61-product-designer,Equipmentshare,3+ years,Remote / Remote (US)
Accounting Manager,https://www.ycombinator.com/companies/faire/jobs/Sy84kI4-accounting-manager,Faire,,"San Francisco, CA"
Staff Software Engineer - Rust,https://www.ycombinator.com/companies/flock-safety/jobs/w0KUMNn-staff-software-engineer-rust,Flock Safety,$200K - $235K,US / Remote (US)
"Senior Software Engineer, Embedded Video",https://www.ycombinator.com/companies/flock-safety/jobs/SWX5bwg-senior-software-engineer-embedded-video,Flock Safety,$170K - $215K,US / Remote (US)
"Senior Software Engineer, Embedded Video",https://www.ycombinator.com/companies/flock-safety/jobs/JO2aEx0-senior-software-engineer-embedded-video,Flock Safety,$170K - $215K,US / Remote (US)
QA Test Engineer,https://www.ycombinator.com/companies/flock-safety/jobs/JohknfN-qa-test-engineer,Flock Safety,$90K - $123K,US / Remote (US)
"Senior Android Application Engineer, Devices ",https://www.ycombinator.com/companies/flock-safety/jobs/coJnAYF-senior-android-application-engineer-devices,Flock Safety,$150K - $205K,"Atlanta, GA, US / Remote (Atlanta, GA, US)"
"Senior Software Engineer, Data Pipeline",https://www.ycombinator.com/companies/flock-safety/jobs/hkuHJwA-senior-software-engineer-data-pipeline,Flock Safety,$171K - $215K,"Atlanta, GA, US / Remote (Atlanta, GA, US)"
Senior Android Systems Engineer,https://www.ycombinator.com/companies/flock-safety/jobs/6FdBSvX-senior-android-systems-engineer,Flock Safety,$150K - $190K,US / Remote (US)
"Senior Product Designer, Interactive ",https://www.ycombinator.com/companies/flock-safety/jobs/YGRaEVb-senior-product-designer-interactive,Flock Safety,$140K - $170K,"Atlanta, GA, US / Remote (Atlanta, GA, US)"
